The Only One,The Black Keys,Brothers (Deluxe),Tuwyxhg5zxlpcew5aox465ydhhi
Tighten Up,The Black Keys,Brothers (Deluxe),Tsldizpxkv3gl5nxg2xbdfykclm
Seven Nation Army,The White Stripes,Seven Nation Army,T4642krzkvwpkoomjdseifh44d4
Steady as She Goes,The Raconteurs,Broken Boy Soldiers,Tq5zpclo4pas54ebdpaclvysihy
Gold on the Ceiling,The Black Keys,El Camino,Tt5auyjkaic65hrp75k6ypzmeyq
Lonely Boy,The Black Keys,El Camino,Tuk6hv3z7mbdjfpnngiwjfvceqm
Dead and Gone,The Black Keys,El Camino,Tm6s4nwbubreghgqbv2jx2hzlxm
Money Maker,The Black Keys,El Camino,Tbgs7ezvegk6nmxitukkq4bdrpu
Sister,The Black Keys,El Camino,Tq5d6ymaiozf3jr27vd5ga5q6uq
Stop Stop,The Black Keys,El Camino,Tgzqoev45q2w5vql366kfnzykea
Fever,The Black Keys,Turn Blue,Tpj6eiensq64et3tkwk23pshhf4
Bullet in the Brain,The Black Keys,Turn Blue,Txisgagfaidakh5i3oposmljepy
Just What I Needed,The Cars,Complete Greatest Hits,T663jmoco4uqbl5o6x7zyznpdba
Roxanne,The Police,Outlandos D'Amour (Remastered 2003),T4g5wfzhtvwjgqsubmn6yyzj2oa
So Lonely,The Police,Outlandos D'Amour (Remastered 2003),Tedp7lszrqmqofiulptqgqruypi
You Shook Me All Night Long,AC/DC,Back In Black,T7igbxibdhryouwllixcflljg6e
Kamera,Wilco,Yankee Hotel Foxtrot,Teqwhxhuqvmiehng4mkqqssi7hu
It's The End Of The World As We Know It (And I Feel Fine) (Remastered),R.E.M.,Document - 25th Anniversary Edition,T36s6wq4sz2oyja66ulxt6iwgmq
In The City,The Jam,The Sound Of The Jam,Tarkqjk65swimafqcfujlyivtha
Damaged Goods,Gang Of Four,Entertainment!,Tel7cv46dmigcigbuv3yxtt6one
I Found That Essence Rare,Gang Of Four,Entertainment!,Tvtmbotoqmo4zqkys5qjchuqhva
Tired Of Sex,Weezer,Pinkerton,Tb3w3zsjxhqwhztqtlgqnhubra4
Route 66 (BBC John Peel Session),Dr Feelgood,Dr Feelgood - BBC John Peel session (21st January 1975),T53a3jdm7prb73kpyemvrpg5kbu
Dreamer in My Dreams,Wilco,Being There,T4cdkd2k3brgli5k4meyuvcn4eu
"She Said, She Said",The Black Keys,The Big Come Up,Tyod74zkfy3s5s33sjsoocvegxa
Jailbreak,AC/DC,'74 Jailbreak,Tcsukk2yappv2kog4l3he5v2hsu
Highway to Hell,AC/DC,Highway to Hell,Teio62jkh5aule3g3xrjejd7gcm
Honky Tonk Women (Mono Version),The Rolling Stones,"Through The Past, Darkly (Big Hits Vol. 2)",T7xsd57sbd62z46qnqhe4xuvhxi
Suzie Q,Creedence Clearwater Revival,Creedence Clearwater Revival (40th Anniversary Edition),Tsbtli3s3kwhizmowwl2ppdqr6i
Midnight Special,Creedence Clearwater Revival,Willy And The Poor Boys,Tjagijjgboklxspggf3ei3hgqfa
I Heard It Through The Grapevine,Creedence Clearwater Revival,Chronicle: 20 Greatest Hits (Ecopac),Tx3dnol5i6jtetoqsx5inun7e5m
All Along the Watchtower,The Jimi Hendrix Experience,Electric Ladyland,Tixcfaeouvevc5q4ve6o2m5tziy
Kodachrome,Paul Simon,There Goes Rhymin' Simon,Tqhjoamvhbtz73a3dil4vhzuy44
Panama (2015 Remaster),Van Halen,The Best of Both Worlds,Tjmqxfuhz5dyaegbkmai5gjvbru
Jump (2015 Remaster),Van Halen,The Best of Both Worlds,Tosm7u6a37qx6itr77rqpkt6tb4
Unchained (2015 Remaster),Van Halen,The Best of Both Worlds,Twmhoqwtcw72gftstio7nrv2keu
You Really Got Me (2015 Remaster),Van Halen,The Best of Both Worlds,T6mvlmprxfifrp7xh2e37nqmo3i
Top of the World (2004 Remaster),Van Halen,The Best of Both Worlds,Tgp77fokrpuzzmmri56math2tsq
Can't Stop Lovin' You (2004 Remaster),Van Halen,The Best of Both Worlds,Td4tef4tmeutuhpuse7ywbr2gfq
Someday,The Strokes,Is This It,Tusq7roggtyty7wdmw7jun7vfwq
Barely Legal,The Strokes,Is This It,Tastlx6pmgzajecgoinnfa3ok2u
Soma,The Strokes,Is This It,Trcpsgs5fcqgdif3cx2p6t6pfcu
Last Nite,The Strokes,Is This It,Tvfjj7jb3mssxee62mqbb2dwyfu
The Modern Age,The Strokes,Is This It,Trckeyn4itao5doqbf7mhqhcmbm
Backwater,Meat Puppets,Too High To Die,Thrfxcqamwpxe23musduadqjmwu
I Will Survive,Cake,Fashion Nugget,Te5cpo2sdret6ou47ziwhju5u6y
Nugget (Edit),Cake,Fashion Nugget,Tbhjwd74rhwgkguoc7duk4q2sqi
