Amazonas,João Donato Trio,Sambolero,Txgsdjh52zupp6z3veoc47lhqm4
Quem Diz Que Sabe,João Donato Trio,Sambolero,Txz7qvrdx7suhtmumni7mlzwcqy
Surpresa,João Donato Trio,Sambolero,Tdl4iquleoaqv3estzasxoyqqea
Bananeira,João Donato Trio,Sambolero,Txh36mmvr46kkurmydcpuctnwwq
Brisa do Mar,João Donato Trio,Sambolero,Tkp6wcwx64zlj5z4doxxwns5774
E Menina,João Donato Trio,Sambolero,Tx5j63zcx44otr66u3wolaqmawa
Lugar Comum,João Donato Trio,Sambolero,T6xnlqdv476cc65emg324gnhebe
Sambolero,João Donato Trio,Sambolero,Tgmpvco5b7elv6bk6vkrkwsnhu4
A Rã,João Donato Trio,Sambolero,Tt4lxzrnv5zivspkjn44lw53gzm
Nasci para Bailar,João Donato Trio,Sambolero,T3wo2chx6zjf4xwgcfvuqsc32l4
Jodel,João Donato Trio,Sambolero,Txhhcxjtq4gnhzk3xvxakzv4lta
"Sambou, Sambou (feat. Zeca Pagodinho)",João Donato Trio,Sambolero,Tez3k7qkz7cm77giac2l2dj5jqy
"Bonita (feat. João Donato, Luiz Alves & Robertinho Silva)",Raul De Souza,Bossa Eterna,T7tcstxbez7nfggjoxlairk3a2a
Bluchanga,João Donato,Bluchanga,Tyykvtcgzrarn27ip5cgdjal3v4
Uma Benção,João Donato,Bluchanga,Tfyotbbudcrccbjjv4bf37l2p3q
Lua Dourada,João Donato,Bluchanga,Tlrxc3ntmrxyl6qam2ivmabf4fm
Não Tem Nada Não,João Donato,Bluchanga,Titcrrrc3byxo2aplq5gbegfbxe
Nua Ideia,João Donato,Bluchanga,Td7nqq4qxiguly6lj6gl3g4txju
The Mohican and the Great Spirit,João Donato,Bluchanga,Tsp5sknw6eiyeqk22mqudac52p4
Trident,João Donato,Bluchanga,Taq5pr4j4hwqkyj7selszzhezgu
Uma para o Duke,João Donato,Bluchanga,T5uaf4syqemqwjsuanpactqmura
Morning,João Donato,Bluchanga,Tnoqw3k7avfdgtylwqt7ijfaufq
Malandro,João Donato,Bluchanga,Tq4trroc2t2lm3eq7cou7fv7ly4
Capricorn,João Donato,Bluchanga,Tp5b4at5n5ojvvvdrcetpmbc6w4
Rio Branco,João Donato,Bluchanga,Thv5vqgcav45lrntjatmpqpn6zq
"Bossa Eterna (feat. João Donato, Luiz Alves & Robertinho Silva)",Raul De Souza,Bossa Eterna,Tavqhzgypwegs3r4bpth3jqubyu
"Só por Amor (feat. João Donato, Luiz Alves & Robertinho Silva)",Raul De Souza,Bossa Eterna,Th6ppstuksgc2dtrglu7udqn6ai
"Fim de Sonho (feat. João Donato, Luiz Alves & Robertinho Silva)",Raul De Souza,Bossa Eterna,T5psnmod5hkhwxowpug3ulu2vca
"Balanço Zona Sul (feat. João Donato, Luiz Alves & Robertinho Silva)",Raul De Souza,Bossa Eterna,Thvw5f7jp7p6vbkyc55wi3k5nay
"A la Donato (feat. João Donato, Luiz Alves & Robertinho Silva)",Raul De Souza,Bossa Eterna,Tmndr44me6zjm4aajna2fqpbzdm
"Malandro (feat. João Donato, Luiz Alves & Robertinho Silva)",Raul De Souza,Bossa Eterna,Tomr3akw6g3o7htiur3pi3t5bqu
"Nuvens (feat. João Donato, Luiz Alves & Robertinho Silva)",Raul De Souza,Bossa Eterna,Tr5txzxet6nkgs3c77pevhqtmx4
"Lugar Comum (feat. João Donato, Luiz Alves & Robertinho Silva)",Raul De Souza,Bossa Eterna,Tesmvool3c5pe5l2lume2rqrluq
"Pingo D´água (feat. João Donato, Luiz Alves & Robertinho Silva)",Raul De Souza,Bossa Eterna,Tzbku6ii73cgswvzy5nadkluwr4
