Estou Dez Anos Atrasado,Erasmo Carlos,Brazilian 70's Rock 'N' Roll,Tlmcyveznfc3a5nmlbpsy2cvgie
Chão de Giz,Zé Ramalho,Antologia Acústica,Tcihg6i4pwcc6uxoerxawz26pqu
Vou Me Afundar Na Lingerie,Arnaldo Baptista,Loki? (1974),Tbtl7me3w7bcjogzqf5eemxjara
Cê Tá Pensando Que Eu Sou Loki?,Arnaldo Baptista,Loki? (1974),Tn3jgwvqexcctm26ty45hnq3lmy
Gita,Raul Seixas,A Arte De Raul Seixas,Ti7epwoafy4b6tl5buv3wlw5obq
Balada Do Louco,Os Mutantes,"""Mutantes E Seus Cometas No Pais Do Baurets""",Tbzyx7grssypstwz5m2kyr4bhv4
Será Que Eu Vou Virar Bolor?,Arnaldo Baptista,Loki? (1974),Tcluzztdratyh4lynrppc7g72ji
Ouro De Tolo,Raul Seixas,A Arte De Raul Seixas,Trxijapcpix5urwurawwsvni6uu
Ando Meio Desligado,Os Mutantes,"""A Divina Comédia Ou Ando Meio Desligado""",Taj6fl3qra7jhd5zfplakwsctwe
Não Identificado,Gal Costa,Gal Costa,T4i4ui72ipxqge32tke5mx5smte
Senhor F,Os Mutantes,Os Mutantes,Tyvsvztzpuhbd2nmak4aezerume
Tô,Tom Zé,Estudando o samba,T4rsvfn3nluvtn67xjyfpm6aag4
Ui (Você inventa),Tom Zé,Estudando o samba,Ttxks4rnt4npg2kptldpliklxse
Só (Solidão),Tom Zé,Estudando o samba,Tf77wrx7czn52gt3slgtwr2kuo4
"Augusta, Angélica e Consolação",Tom Zé,Todos os Olhos,Tvf3cz4ownlcrg7lvw2iujp7aky
Que Loucura,Sérgio Sampaio,Tem Que Acontecer,Tzywt6puduntqocahu4mliscuci
Orora Analfabeta,Jards Macalé,Anos 70,T3w632fyzguyl3dcyxavaxj456i
Vapor Barato / Revendo Amigos,Jards Macalé,Jards Macalé,Tpkeppl5ruedzunmwiw2y34q5m4
"Estácio, Eu E Você",Luiz Melodia,Pérola Negra,Tnaj73jttdurefmb555ht6jouy4
Vale Quanto Pesa,Luiz Melodia,Pérola Negra,Ta5epgm5isfj5u44f4apnn3d6pq
"Estácio, Holly Estácio",Luiz Melodia,Pérola Negra,T53cujnftnjrs4a4ynemkvvybuu
Pérola Negra,Luiz Melodia,Pérola Negra,Tbrdf24ylbk3iszcvoo75bmy5wa
Magrelinha,Luiz Melodia,Pérola Negra,Tu3h3o36mwws62bikivrypjajre
Objeto H,Luiz Melodia,Pérola Negra,Tyabx64rjhomwk7ef6ghjeqrzwe
Congênito,Luiz Melodia,Maravilhas Contemporâneas,Thlz3wmbln4uyntuo3hxrsqlnou
Veleiro Azul,Luiz Melodia,Maravilhas Contemporâneas,Ti6zm5snsn3o57h454bha464nq4
Juventude Transviada,Luiz Melodia,Maravilhas Contemporâneas,Tou2qdxsttbmb7i6asvngygtlfa
Amor,Luiz Melodia,Maravilhas Contemporâneas,T6rpbfruwer24effzq5u2jsyjre
Questão de Posse,Luiz Melodia,Maravilhas Contemporâneas,Tut3uu3xdxzqiew6tyshyhaxcvu
Nanã,Wilson Simonal,Simonal - Ninguém Sabe O Duro Que Dei,Tvfmeca2cmyicgofzo4opygblua
Vesti Azul,Wilson Simonal,Simonal - Ninguém Sabe O Duro Que Dei,Ta2wp6fd4lfijkkkk4udn76qjni
Tributo A Martin Luther King,Wilson Simonal,Simonal - Ninguém Sabe O Duro Que Dei,T75bopz6vcd3tucedmdainlai2a
Balanço Zona Sul,Wilson Simonal,Simonal - Ninguém Sabe O Duro Que Dei,Tu2mvjmwrllrhdhw35cb4nsvv5y
Sá Marina,Wilson Simonal,Simonal - Ninguém Sabe O Duro Que Dei,Tpncvwumlaiyeycvj443d5mr6rq
"Na Rua, Na Chuva, Na Fazenda (Casinha De Sapê)",Hyldon,"Na Rua, Na Chuva, Na Fazenda",Tspdhmvlf6ix5afgy4szzoezzgm
Réu Confesso,Tim Maia,Electric Samba Groove,Tp2rx67nnowtlx2y5hujr5gadza
A Lua e Eu,Cassiano,Soul do Brasil,T7kli7v3eiwuu4zewv4cjqdz6mm
Eu Amo Você,Cassiano,Cedo Ou Tarde,Thmzmy3iucgv5nd2yy2xq3gudyi
"Cada Um, Cada Um",Cláudio Zoli,Cláudio Zoli,T2id7our6zvi2n4cbxl2e3bsjtm
Rio Best-Seller,Cassiano,Cedo Ou Tarde,T4ttxjwrouwssu7srh3tfgyowny
Noite do prazer,Brylho,Brylho,Tf2annjxszgggueeuddnhawlvpi
Pavão Mysteriozo,Ednardo,O Romance Do Pavão Mysteriozo,T2golykkupdzuxwza3wbzvh3rj4
Meu Amigo Pedro,Raul Seixas,Há 10 Mil Anos Atrás,Tzxc3xhg7jeetfxeb6exlq6eizu
Eu Também Vou Reclamar,Raul Seixas,Há 10 Mil Anos Atrás,Tlil6guzv4xdcom6pqknfotteia
S.O.S.,Raul Seixas,Gita (Bonus Tracks),Tqkcy7oawme52scgebyvaydrepa
O Conto Do Sábio Chinês,Raul Seixas,Abre-Te Sésamo,Tczssbsir6taxxhq3cnxquw2szu
Só Pra Variar,Raul Seixas,Abre-Te Sésamo,Ts7tyinmlhmvaf42otvu3pavdxi
Aluga-Se,Raul Seixas,Abre-Te Sésamo,T55rqxcwch7l7gxxyu3afn5ujoi
Garota Moderna,Wilson Simonal,Wilson Simonal,Tmtdbtlkblnjufiij4ljxinc3u4
