Roxanne,The Police,The Very Best Of Sting And The Police,T22dzahmpcy5lf73oamjw24d45q
So Lonely,The Police,The Very Best Of Sting And The Police,Tesaxii6us7x3x4nr5gwllbz7m4
Damaged Goods,Gang Of Four,Entertainment!,Tel7cv46dmigcigbuv3yxtt6one
I Found That Essence Rare,Gang Of Four,Entertainment!,Tvtmbotoqmo4zqkys5qjchuqhva
I Shot The Sheriff,Eric Clapton,461 Ocean Blvd. (Deluxe Edition),Tw6dqry4cbmzjti73uhv4m7atfe
Happiness Is A Warm Gun (Remastered 2009),The Beatles,The Beatles (Remastered),To2k3l3t74tn7glzgvad3oudg5u
Kodachrome,Paul Simon,The Essential Paul Simon,Typmz3ad7eh43socxjrtihewmfu
Jailbreak,AC/DC,'74 Jailbreak,Tcsukk2yappv2kog4l3he5v2hsu
You Ain't Got a Hold on Me,AC/DC,'74 Jailbreak,Tejixvbrkfw6k3xz7cdnzdocx5y
Show Business,AC/DC,'74 Jailbreak,Txgmsmgcqqubpladsz6ybr436qa
Soul Stripper,AC/DC,'74 Jailbreak,Tijq4f6r53yatcrh4wmr4rni2ym
You Make Me Real,The Doors,Morrison Hotel,Tmhupajip6edreclwobrcffazxy
Love Me Two Times (New Stereo Mix) [Advanced Resolution],The Doors,The Very Best Of The Doors,Tfhudvyjiv2dikuqcuizpzjmm3q
I'm so Bored With the U.S.A.,The Clash,The Clash,Tj4pifvsksl4sbdbq7i2hrb7lc4
Winterlong (2017 Remaster),Neil Young,Decade,Tmtrkvpafde6467mrk3ahxylcfa
It's The End Of The World As We Know It (And I Feel Fine),R.E.M.,Document,T3dqq73gdjeq6zgbwijv4jugy2q
Tighten Up,The Black Keys,Brothers (Deluxe),Tsldizpxkv3gl5nxg2xbdfykclm
Kamera,Wilco,Yankee Hotel Foxtrot,Teqwhxhuqvmiehng4mkqqssi7hu
I'm the man who loves you,Wilco,Yankee Hotel Foxtrot,T37xkylm23qgcupklbmljhhps7a
Dreamer In My Dreams,Wilco,Being There,T4cdkd2k3brgli5k4meyuvcn4eu
Bull Black Nova,Wilco,Wilco (The Album),Tmqcuzbxwp6w4lzpb47zvy3iqdi
I Heard It Through The Grapevine,Creedence Clearwater Revival,Cosmo's Factory (40th Anniversary Edition),Tbipyaef6rdg46drz3ii4elaoui
All Along the Watchtower,The Jimi Hendrix Experience,Electric Ladyland,Tixcfaeouvevc5q4ve6o2m5tziy
Come On (Let the Good Times Roll),The Jimi Hendrix Experience,Electric Ladyland,T7ndz7w4cwq44s2oq3vy2c6df3q
L.A. Woman (New Stereo Mix) [Advanced Resolution],The Doors,The Very Best Of The Doors,Toovlfbouwspgfjia3yzzcnsh5m
Purple Haze,The Jimi Hendrix Experience,Are You Experienced,Ti3qalb77m5fmt7uycrksrkqrri
Would?,Alice In Chains,Dirt,T4lfprkg5jyu5yv5ghvjn4srgei
Rebel Yell (Remastered),Billy Idol,Greatest Hits,Tjxyutqahpnllrwjcfkqz75zcla
Highway Star (Remastered 2012),Deep Purple,Machine Head (Remastered),Tyaz62xczroksh3j5dlkdtitquq
Panama,Van Halen,Best of Volume 1,Tj2jnkkrszqpg2vyued2ypn6w3a
You Shook Me All Night Long,AC/DC,Back In Black,T7igbxibdhryouwllixcflljg6e
Ride Like the Wind,Saxon,Destiny,Tnkxpgaqnmnwfbrtx5djnttz2wa
Don't Stop Believin',Journey,The Essential Journey,Tgmu7frgday3jwrkj5hl7h5dkdi
Mercy Mercy Me (The Ecology),The Strokes,You Only Live Once/Mercy Mercy Me,Tcni4dqwlkpssyuewwozfexh7ge
Highway to Hell,AC/DC,Highway to Hell,Teio62jkh5aule3g3xrjejd7gcm
Don't Let Me Be Misundertood,Eric Burdon,Eric Burdon,Tx3vekywqrzsazsjkf3glahhedy
Born to Run,Bruce Springsteen,Born To Run,Tnlwgpr4rl62zblmhhowiep653a
We Are The Champions (Remastered 2011),Queen,Greatest Hits (Remastered),Tnhlewryt4ts77aszka7winnu74
"Money (Live At The Star-Club, Hamburg, Germany/1964)",Jerry Lee Lewis,Live At The Star-Club Hamburg,T4vyrycn5iyo7yirtp52eheztiy
Suzie Q,Creedence Clearwater Revival,Creedence Clearwater Revival (40th Anniversary Edition),Tsbtli3s3kwhizmowwl2ppdqr6i
Corporation,Jack White,Boarding House Reach,Txb6akjcsfrcis7mu3z5gxcxxrq
