Come On Eileen,Dexys Midnight Runners,Too Rye Ay (Deluxe Edition),T4q7hjeq2obc6bffl36nsa5yjvi
It's The End Of The World As We Know It (And I Feel Fine),R.E.M.,Document,T3dqq73gdjeq6zgbwijv4jugy2q
Boys Don't Cry,The Cure,Three Imaginary Boys,Tmuh45aoyx43v2rkexl45rzpzhi
Here's Where The Story Ends,The Sundays,"Reading, Writing & Arithmetic",Tmgkxezjgwninp7qc7j7ya4ehcm
The Killing Moon,Echo And The Bunnymen,Ocean Rain,Tvd4d5fcivglloeh5r6yd3iysry
Town Called Malice,The Jam,The Gift (Deluxe Edition),Tl5zfvcdf5i4nrr5qvtnmowz2h4
Inbetween Days,The Cure,The Head On The Door,T2ibpgns2zlimzgcns3q2xu3any
So Lonely (Remastered 2003),The Police,Outlandos D'Amour (Remastered),T2djtuushcj4ydq4erzrt46fznu
This Charming Man (2011 Remaster),The Smiths,Complete,Tr3hl6qufqanb7em47oxgypxcnq
Every Breath You Take (Remastered 2003),The Police,Synchronicity (Remastered),Tbatvbpmlvid6iiq4cpczsokoii
Psycho Killer (2005 Remaster),Talking Heads,Talking Heads 77 (Deluxe Version),Ts7akzewwzgr4gljolfj2dr4epu
Born to Run,Bruce Springsteen,Born To Run,Tnlwgpr4rl62zblmhhowiep653a
I Shot The Sheriff,Eric Clapton,461 Ocean Blvd. (Deluxe Edition),Tw6dqry4cbmzjti73uhv4m7atfe
Roxanne (Remastered 2003),The Police,Outlandos D'Amour (Remastered),T324pmf5jf72lhwjwylxbwboyf4
Legal Tender,The B-52's,Whammy!,Thxc42lfabmwjmq4mfcv4hx7ufi
Nothin' But A Woman,Robert Cray,Strong Persuader,Tmh4eh3xa3rt2pcfp6hkru5gl6m
Shiny Happy People,R.E.M.,Out Of Time (25th Anniversary Edition),Tlhmvytrecklflbguwljhzcjbve
Wild Wild Life (2005 Remaster),Talking Heads,True Stories,Tfgxw66dh4tokjcpjpvdyg2rwbu
"If You Leave (From ""Pretty In Pink"")",Orchestral Manoeuvres In The Dark,If You Leave,Tyyzb6aufdoaxm2lr7esqvecvsi
Rock Lobster,The B-52's,The B-52's,Tfxc5ps37mboaauwp2cafhsuvy4
Heart Of Glass (Special Mix),Blondie,The Best Of Blondie,Tlp6vuqf5a4lebvdpuazm6yzx4u
Kiss on My List,Daryl Hall & John Oates,The Essential Daryl Hall & John Oates,Trgu2ek7kollv35h54zji75qgty
I Found That Essence Rare,Gang Of Four,Entertainment!,Tvtmbotoqmo4zqkys5qjchuqhva
Hungry Heart,Bruce Springsteen,The River,Tp5736ldxbhzvkt6qrts5tc6vt4
Private Idaho,The B-52'S,Wild Planet,Tglkhsiasm5mchmxnimblp6efqu
Eye in the Sky (Remastered),The Alan Parsons Project,Platinum & Gold Collection,T3am662s32nsllnejoxxvpgtlum
Rebel Yell,Billy Idol,Rebel Yell,Trnssvj65owys4khavnlffjgl5y
This Is the Day,The The,London Town 1983-1993,T7qmpxc6vbcenivwnarfaen7ymi
Call Me,Blondie,The Best Of Blondie,Tssuwymhaghiwjxgq37r67lymlm
Damaged Goods,Gang Of Four,Entertainment!,Tel7cv46dmigcigbuv3yxtt6one
Down Under,Men At Work,The Best Of Men At Work: Contraband,Thbto5htt4252lgh6m46t5thhpe
Beds Are Burning (Remastered),Midnight Oil,20000 Watt RSL - The Midnight Oil Collection,Txog3qbyebpie3xf4pazl32spzq
My Ever Changing Moods (Single Version),The Style Council,Greatest Hits (Digitally Remastered),T5tvopsejcgwa2va4wtkrjiamjm
Everything I Need,Men At Work,The Best Of Men At Work,Tewkj23iv4vfv2x3xsz2d6b5hdy
Las Vegas Turnaround (The Stewardess Song),Daryl Hall & John Oates,The Atlantic Collection,Tdqi5ayfrxpeykuh6ei6n4rejv4
Love Shack (Edit),The B-52's,Love Shack [edit] / Channel Z [Digital 45],Tyaal4hzldtrtxzqfwuscs4ojla
Maneater,Daryl Hall & John Oates,The Essential Daryl Hall & John Oates,Tp2rexfpyixu25rxqc37bn5vevy
Who Can It Be Now?,Men At Work,The Best Of Men At Work: Contraband,Truhxood62i3asc72d3oqdb4k74
I Can't Go for That (No Can Do) (Remastered),Daryl Hall & John Oates,The Essential Daryl Hall & John Oates,Tcf4ex77t77kwnmbnrxqcj7sxay
Summer of Love,The B-52's,Time Capsule,Th7rwfmru6zc6wf4ld4wxzcutdy
Shades,Iggy Pop,Blah Blah Blah,Trlbu6hnzhohnvz7d5xy67cb2p4
Out of Touch (Single Version),Daryl Hall & John Oates,The Essential Daryl Hall & John Oates,Tf2jfgqlk6lsizul3gecjfoyz5y
Overkill,Men At Work,The Best Of Men At Work: Contraband,T6hre367ooqioctvixu5skscqou
True (Single Edit),Spandau Ballet,Gold - The Best Of Spandau Ballet,Tej56lo6xuw33wai6twec4ukryy
Da Da Da (I Don't Love You You Don't Love Me Aha Aha Aha),Trio,Triologie - The Best Of Trio,Tjpxy3j5rygzztlos6rxgqglu2u
Da Da Da ich lieb dich nicht du liebst mich nicht Aha Aha Aha,Trio,Da Da Da,Tnvj65uywcmclbc2t4buezjwjbq
Middle of the Road,Pretenders,Learning to Crawl,Tje4lqddnzuzw7imjnerd5okwda
Back on the Chain Gang,Pretenders,Learning to Crawl,Tf4vu5e6dvobmp5gvud3mlzq37e
Don't Get Me Wrong,Pretenders,Get Close,Tzedxvu7fszzcf3ii4f4yaoats4
