Catch,The Cure,Galore: The Singles 1987-1997,Tj3tqtfs3ssvrls6ol2oxpvwl2u
Lovesong,The Cure,Galore: The Singles 1987-1997,Ton24a5gcspsxm6p2bqi66dud4m
Day Tripper (Remastered 2015),The Beatles,1 (Remastered),Tny6ut56gsgh6gpjvbtb557rqba
Happiness Is A Warm Gun (Remastered 2009),The Beatles,The Beatles (Remastered),To2k3l3t74tn7glzgvad3oudg5u
I'm Only Sleeping (Remastered 2009),The Beatles,Revolver (Remastered),T7x3ep55x4pl6xfzpeyduttahfy
Drive My Car (Remastered 2009),The Beatles,Rubber Soul (Remastered),Tbrvfuqrxz2d5abfceotqkb2go4
In My Life (Remastered 2009),The Beatles,Rubber Soul (Remastered),T4sd52oze7burujdwkwuthhu2xm
Revolution (Remastered 2009),The Beatles,The Beatles 1967 - 1970 (Remastered),Tbl5wh5pssvwdalewfs2oxki7km
Old Brown Shoe (Remastered 2009),The Beatles,"Past Masters, Vols. 1 & 2 (Remastered)",Tdjlvedop27q6uoxmeghguipn44
Start Me Up,The Rolling Stones,Tattoo You,Tgyekwg6b4dqwk3xcizsmzwycxi
(I Can't Get No) Satisfaction (Mono Version),The Rolling Stones,Out Of Our Heads,Tbdqayw4owahkbebc4shcnt7peu
Under My Thumb,The Rolling Stones,Aftermath (Remastered),Togihrjr6fu5725pc4z7mjssovi
Let's Spend The Night Together,The Rolling Stones,Between The Buttons (Remastered),Tmm3wbvbufxhgyahefykvfv4hja
Honky Tonk Women (Mono Version),The Rolling Stones,"Through The Past, Darkly (Big Hits Vol. 2)",T7xsd57sbd62z46qnqhe4xuvhxi
Gimme Shelter,The Rolling Stones,Let It Bleed,T4we6576rcqgaysm7xvobgvwcim
Brown Sugar,The Rolling Stones,Sticky Fingers,Tcfnz4omdrv7lnzr4go3go4zrku
(Get Your Kicks On) Route 66,The Rolling Stones,The Rolling Stones (UK),T6aheueohg42cyh6yjpov2r3y6y
Rocks Off,The Rolling Stones,Exile On Main St.,Tromlxprmtyrpbr7qlscntsnpt4
It's Only Rock'n'Roll (But I Like It),The Rolling Stones,It's Only Rock 'N' Roll (2009 Re-Mastered),T6kxcfwszvy77sdzzrkl3wtv4fy
Anybody Seen My Baby? (Remastered),The Rolling Stones,Bridges To Babylon (2009 Re-Mastered),Tskns554hqxajgypi7ae3zlo3iy
Around And Around,The Rolling Stones,12 X 5,Tyrngm3sdyoew6lkgix7ncdhhwq
Can't You Hear Me Knocking (Remastered),The Rolling Stones,Sticky Fingers,Tqq7tclandgy42hahnpjy6ryysa
2120 South Michigan Avenue (Long Version),The Rolling Stones,12 X 5,Tjg3ldsliyrzlths7njzyv32lke
Jigsaw Puzzle,The Rolling Stones,Beggars Banquet,Tpkfgc4vh54ms2wnlypgg7exmbq
Live With Me,The Rolling Stones,Let It Bleed,Tavxqw7vmkadzawcluzfswej5k4
Monkey Man,The Rolling Stones,Let It Bleed,Thbj26c5mgxuo725dkrgjvwvnha
Roxanne,The Police,The Very Best Of Sting And The Police,T22dzahmpcy5lf73oamjw24d45q
Dreamer In My Dreams,Wilco,Being There,T4cdkd2k3brgli5k4meyuvcn4eu
Damaged Goods,Gang Of Four,Entertainment!,Tel7cv46dmigcigbuv3yxtt6one
I Found That Essence Rare,Gang Of Four,Entertainment!,Tvtmbotoqmo4zqkys5qjchuqhva
So Lonely,The Police,The Very Best Of Sting And The Police,Tesaxii6us7x3x4nr5gwllbz7m4
Where Is My Mind?,Pixies,Death To The Pixies,T2lkhrlht2fhggy3qjkuqd4ll6u
Fresh Feeling,Eels,Souljacker,Tgzkmhnb24w774if4bkqh3nyhwy
Would?,Alice In Chains,Dirt,T4lfprkg5jyu5yv5ghvjn4srgei
All Along the Watchtower,The Jimi Hendrix Experience,Electric Ladyland,Tixcfaeouvevc5q4ve6o2m5tziy
Rock Lobster,The B-52's,The B-52's,Tfxc5ps37mboaauwp2cafhsuvy4
It's The End Of The World As We Know It (And I Feel Fine) (Remastered 2006),R.E.M.,And I Feel Fine.....The Best Of The IRS Years 82-87,T7it6ipoqjb4fo35rcpbhqakfpu
The Man Who Sold The World (2015 Remastered Version),David Bowie,The Man Who Sold The World (2015 Remastered Version),Tqslzucz4xg2ptmdzghrliuzm6a
Come On Eileen,Dexys Midnight Runners,Too Rye Ay (Deluxe Edition),T4q7hjeq2obc6bffl36nsa5yjvi
Little Green Bag,George Baker Selection,Golden Years Of Dutch Pop Music,Tsp3qsdxni6eprvufehn2jbbtki
Suzie Q,Creedence Clearwater Revival,Creedence Clearwater Revival (40th Anniversary Edition),Tsbtli3s3kwhizmowwl2ppdqr6i
Lazy (1997 Remix),Deep Purple,Machine Head - 25th Anniversary Edition,T4lkmzg3ijyywvuj3yxhs7kphcy
Highway Star,Deep Purple,Machine Head - 25th Anniversary Edition,Tizlmycmoa6fehotbfl6el7hije
This Charming Man (2011 Remastered Version),The Smiths,Complete,Tr3hl6qufqanb7em47oxgypxcnq
"Valerie (Live At BBC Radio 1 Live Lounge, London / 2007)",Amy Winehouse,Back To Black (Deluxe Edition),Tipvotjvlipp75kgs4ov4tzs54m
You Know I'm No Good,Amy Winehouse,Back To Black,Twk44nxqv4a57e57ruzhk6bfctu
Me & Mr Jones,Amy Winehouse,Back To Black,Tqwpdydeqh3dzbpgc3r7zlnsizu
Rehab,Amy Winehouse,Back To Black,Tf2mkeni3vjhwpg7cpqii46o2w4
Back To Black,Amy Winehouse,Back To Black,T4e4jhkptwiqodbsivu42m4lb3y
Respect,Aretha Franklin,30 Greatest Hits,To7yffl4ltcul4g7f2sczvnvzxe
Think,Aretha Franklin,1968,Tasw7xuwcnc76oboksfukxos6gq
I Say a Little Prayer,Aretha Franklin,1968,Thhu46uhw2xqfckuuth5upamorq
Chain of Fools,Aretha Franklin,Feel Good Weekend,Tuorsbodpbtafbkafsv3dckoioq
I Can't Wait Until I See My Baby's Face (Remastered),Aretha Franklin,Runnin' Out Of Fools,Tdcqkudkl75put4j7kpg42boioe
"Theme From ""Shaft""",Isaac Hayes,Greatest Hit Singles,Tpb5lk3sgt7lkipdzqdlvrzjv6u
Across 110th Street,Bobby Womack,The Best Of Bobby Womack: The Soul Years,Tcrbjszokuy43cerebxjhjui7cu
What's Going On,Marvin Gaye,What's Going On (40th Anniversary),Tn3js66ju2stp62qjbzffpxzwxy
Let's Stay Together,Al Green,Let's Stay Together,Tqoqj75a6pg6cfp7bmtwiostl2q
Be Thankful for What You Got (Pt. 1 & Pt. 2),William DeVaughn,Be Thankful for What You Got,Tg2yju2f7fadm7fef43wmftekm4
See You When I Git There,Lou Rawls,The Essential Lou Rawls,Tvcc4v44lbmka2ljdcarcqvwc2i
Papa Don't Take No Mess (Pt. 1),James Brown,Greatest Breakbeats (2CD),Tugsrpjyi6s2bopqloxcvpattoa
Tell Me 'Bout It,Joss Stone,Introducing Joss Stone,Taxmbd4jfgksqugq7tb2e6lfqti
All About That Bass,Meghan Trainor,All About That Bass,T3s4wi7m3eakrpzc2cakbojnea4
You'll Never Find Another Love Like Mine,Lou Rawls,Lou Rawls - The Very Best Of,Tanzg2tdrjbc6hxoga5tfs4wkmi
