"Chora, Me Liga (Ao Vivo)",João Bosco & Vinícius,Seleção Essencial - Grandes Sucessos - João Bosco e Vinícius,Tdfeqg5ydx5prtrp46dyw5tkaxy
Pinga Ne Mim (feat. Sérgio Reis),Michel Teló,Bem Sertanejo,Tva33kudw4eknjtmdr3pq7zfhri
A Enxada e a Caneta,Zico e Zeca,Clássicos Sertanejos,Tfbpyr2o37pnteem7q34nfov4ti
Bobeia pra Ver,Fernando & Sorocaba,Bobeia pra Ver,Tn6sc3vyhy67emmcpcon7qd6gha
Panela Velha,Sérgio Reis,Sérgio Reis,T7kxmsm5itp5smz2lmmazjnacwq
O Menino Da Porteira,Sérgio Reis,Violas E Violeiros,Td5lyht2ayvnr6nwboiwajmsbo4
No Rancho Fundo (Acústico) (Ao Vivo),Chitãozinho & Xororó,Grandes Clássicos Sertanejos Acústico II (Ao Vivo),Tr4lzzxta7ae7cazrhgmfvcpbvu
Moreninha Linda (feat. Chitãozinho & Xororó),Michel Teló,Bem Sertanejo,Ter7v2va4j5u5zi4ndtk7jky3q4
Saudade da Minha Terra,Liu & Léu,Saudade da Minha Terra,Txx5mofs22zpkb57eg33vlzm3qm
Chalana (feat. Almir Sater & Jads & Jadson),Michel Teló,Bem Sertanejo,Tw4ykqxnjldktzkvlvaarsin3we
Deus e Eu no Sertão,Victor & Leo,Borboletas,Tlmw77ghaaoeh4qfaisi7jcropq
Boiadeiro Errante,Carlos Cezar e Cristiano,Década de Ouro da Música Sertaneja,Tpmnjykapnynzdwvl35odfukabu
História de um Prego (Acústico) (Ao Vivo),Chitãozinho & Xororó,Grandes Clássicos Sertanejos Acústico I (Ao Vivo),Tryekkkf2nss66lph7mhhjsp3be
Filho Adotivo,Sérgio Reis,Violas E Violeiros,Tizqtn5iw7jqbgipti3ni3mgkqa
Trsiteza do Jeca,Tonico e Tinoco,"Recordando o 78, Vol. 5",Ttrwcni3bc7s2anznyndt4sa74u
India (Original Mix),Cascatinha & Inhana,Recordando,T6hrqsbeqcziocbiilkq6owclei
Cabocla Tereza,Raul Torres & Florencio,Luar Do Sertão 2 - Raul Torres E Florêncio,To6vvoamzqeiueq433yxmjfnpsa
Água No Leite,Teodoro E Sampaio,Raizes Sertanejas Vol.2,Tvckw2hz7tvx6agus7xw3nwp32i
Folha Seca,Zico & Zeca,"Sertanejo Raiz - Moda de Viola, Vol.1",Tr5azl2bucxtyi3xggrotoy5u64
Boiadeiro Errante,Sérgio Reis,"Sertanejo Raiz - Moda de Viola, Vol.1",Tvcfjqhlaxw4gjcbcfhoqoa2woy
Fogão de Lenha,Léo & Júnior,Modão de Boteco,Tqfwaox6e2ua6bmbv5cvywt4lrq
O Sol e a Lua,Zico e Zeca,Zico and Zeca: Cadeia Da Saudade,Tu5hcuvhqzr6m4osawpmpdkt5ia
Cabocla Tereza,Léo & Júnior,Modão de Boteco,Tgvnux6nsgmrakmgeipmp5zglxq
Tristeza do Jeca,Zico e Zeca,"Clássicos de Outrora, Vol: 1",Tgavdoidtljjrgba4xxsdor7bdi
Vingança do Chico Mineiro,Tonico & Tinoco,"Recordando o 78, Vol. 1",Tl3hnwgigc54ejq6apqebyxt7u4
Deus e Eu No Sertão,Renato Teixeira,Amizade Sincera Il,Tzc5c2fpnh77eddurcebtsh7wnq
Os Três Boiadeiros,Carlos Cezar & Cristiano,Vai e Vem do Carreiro,Ts4ohj2mo3mwpwhe5n3g4yo3xfy
Romaria (The Voice Brasil / Ao Vivo),Danilo Reis & Rafael,Romaria (The Voice Brasil / Ao Vivo),Tizne6vlhw6eioxqmqtfe6jlqym
Chico mulato,Rolando Boldrin,Especial - Canta Raul Torres e João Pacífico,T3lszzefpza6jmtwtjcil7xq2pq
Chico Mineiro,Sérgio Reis,Sérgio Reis 40 Anos de Estrada,Turgsbi2qyrz2fzxxnt56cigmmq
João de Barro,Sérgio Reis,Maxximum - Sérgio Reis,Teafxzr2hurlwkqoqiitgkuh7qq
Tristeza do Jeca,Tião Carreiro & Pardinho,80 Anos de Música Sertaneja,Tzfi5vlvovv3ofplpvmadhql5gm
Tocando Em Frente,Almir Sater,Além do Tempo,T654oeamlhyxm2vssikgdkxtn3m
Não Aprendi a Dizer Adeus,Leandro and Leonardo,Sonho por Sonho,Ti4bvh3nggy5oysvm27aotyliqi
Mágoa de Boiadeiro (feat. Daniel),Michel Teló,Bem Sertanejo,Tnqmxn4zbblbidnbi72molvy6ny
Tem Que Ser Você,Victor & Leo,Borboletas,Tbthg2e73zkwvwnid3cdelazeay
Luar do Sertão,Craveiro & Cravinho,Canta Tonico & Tinoco,Tj4vvt463jfjvmhecg3myp743aq
Berrante De Ouro,Carlos Cezar & Cristiano,Vai e Vem do Carreiro,Totg5gpeq6egqnwyjcr32ngcvra
Boiadeiro Errante,Carlos Cezar & Cristiano,Vai e Vem do Carreiro,Tuv665krd3jka7o57dyucmdlooy
