I'm Gonna Sit Right Down and Write,Fats Waller,200 Jazz Greatest Hits Ever,Tlssg3znkab74dxmgwcqs4u6pty
Corner Pocket (Remastered),Count Basie and His Orchestra,Count Basie and His Orchestra Greatest Hits (Remastered 2017),T4bseoiv42bsvwikkiudcg5seim
Song For My Father,Horace Silver,Song For My Father,Tngfd5swvvurx77kr5tqpj7amiu
Almost Like Being In Love (feat. Paul Chambers & Art Taylor),Red Garland,Red Garland's Piano,Tixbwf723wtrmjib4bkmc2tcpzm
Naima,John Coltrane,Giant Steps (Deluxe Edition),Tspewjmyrshsc33qwuf4x4d7fne
Ginza Samba,Vince Guaraldi,From All Sides,T3vk7iangiqp7ro3e7kcabz7xre
There Will Never Be Another You (feat. Pete Brown's Sextet),Joe Wilder,Such a Beautiful Sound: Joe Wilder and Pete Brown's Sextet,Tg5d56looguk3lgtd4xhbgjq7d4
Take Five,The Dave Brubeck Quartet,Time Out,Tn5pmntxulndl4mdhdmanhqw74i
"Just You, Just Me (feat. The Oscar Peterson Trio)",Lester Young,The President Plays with the Oscar Peterson Trio (Bonus Track Version),T253vxptfn5vprm72nsaqnp2gji
On the Sunny Side of the Street (feat. The Oscar Peterson Trio),Lester Young,The President Plays with the Oscar Peterson Trio (Bonus Track Version),Ts4qhfwiisckqx5ybkapdpma64m
Tea for Two (feat. The Oscar Peterson Trio),Lester Young,The President Plays with the Oscar Peterson Trio (Bonus Track Version),T3xupdp32j3nyzxws7htvuuhllm
Let's Cool One,Thelonious Monk,In Orbit,Tvymfmr4zyghya62czoqqkhtequ
Almost Like Being in Love (feat. The Oscar Peterson Trio),Lester Young,The President Plays with the Oscar Peterson Trio (Bonus Track Version),T3pyd4gcrcrkao2cyikeuh7gz74
I'm Gonna Sit Right Down and Write Myself a Letter,"Earl ""Fatha"" Hines","Jazz Greats: ""Fatha"" Plays Fats",T2pdefh4e4f53xuchhumpr4lzta
Moanin',Art Blakey,Moanin' (The Rudy Van Gelder Edition),Tsp2xuy3e7667zfhb7w4ekys7yy
Stardust (feat. The Oscar Peterson Trio),Lester Young,The President Plays with the Oscar Peterson Trio (Bonus Track Version),T5jh66j3nlgjodnqnwijz6gqyc4
Stardust,Art Tatum,Jazz Ballads - 18,T4h2xzqy37bt42xd7ur4shqh4tu
Wave (Live),Joe Pass,Blues Dues,Tgmzb24tlh4l6uzjr4yyanrgmfu
Un homme et une femme,Baguette Quartette,A La Noce,Tdrcfsxi2nym5nwbg77xs563f3i
Les parapluies de Cherbourg,Baguette Quartette,A La Noce,Tfwuso4wemcg5iqf2dis7mne7na
La Vie En Rose,Edith Piaf,La vie en rose,Tsc7aklxlyvynqpkhc4nbbbs4my
Smile,Madeleine Peyroux,Half The Perfect World,Tku3pa2ofppmxbothezbkbwjifu
I Can't Stop Loving You,Madeleine Peyroux,The Blue Room,T5zofbpiclcz2f6th2pyxncuuw4
The Summer Wind,Madeleine Peyroux,Half The Perfect World,T45bdbsrcywvtuvopred2mud3lu
Dance Me To The End Of Love,Madeleine Peyroux,Careless Love,T7bbf7uwxsslfwvv5ymzgf2sqai
The Way You Look Tonight,William Galison & Madeleine Peyroux,Got You On My Mind,Tbqnq7rvwpsdjuezu5ebd7mlaba
I'm Gonna Sit Right Down and Write Myself a Letter,Madeleine Peyroux,Dreamland,Teue2nmzbittb474ll22435pmoa
La Vie En Rose,Madeleine Peyroux,Dreamland,Twgbf6yr7cbszajpf3n5wgavr4a
Muddy Water,Madeleine Peyroux,Dreamland,Tjko7stcqgoulmybujjw425w42e
"My baby just cares for me (feat. Ana Krüger, Carlos Badia, Nico Bueno & Mano Gomes)",Delicatessen,My Baby Just Cares For Me,Tzy33rid5twzatthvjuvqwm6boy
In a mellow tone,Delicatessen,Jazz + Bossa,T6n42ytq7otejfiwi7bkk6jolwi
Angel Eyes,Delicatessen,Jazz + Bossa,Tj443iolokmxm3elsfrfnoce3dm
I love the way you're breaking my heart,Delicatessen,Jazz + Bossa,Tl6vcehgvs3ag4lu2taymf53smq
Do it again,Delicatessen,Jazz + Bossa,Tsrvpbcym6cjmauf7uziuabiaoq
Caramel,Suzanne Vega,Nine Objects Of Desire,Tz5tf2kyltbd6e7shahr3fllcoq
Fly Me To The Moon (In Other Words),Frank Sinatra,Sinatra/Basie: The Complete Reprise Studio Recordings,Tkittjmae6svlw6gz7tsw53npuq
Dream a Little Dream,Ella Fitzgerald,Dream a Little Dream,Tqo4yfxjzgp2eox6q7i5mykgw4u
In a Mellotone,Ella Fitzgerald,Dream a Little Dream,Tr2fxgfujhykpian7ta2g63hh5m
Perfect,Fairground Attraction,The First Of A Million Kisses,Ttp7fl4ohxhjyn6jsj72n2wicie
Sympathique,Pink Martini,Sympathique,Tgqzjjbbetdrjdtl7qyngo2valm
Dream a Little Dream,Pink Martini,Dream a Little Dream,T3ra4ocqp7zxephksztxf5cnfjm
A Foggy Day (Live),Red Garland Trio,"At The Prelude, Vol. 1",Twnb47r2o4ruqg4cbjecsdtxnmi
There Will Never Be Another You (Live),Red Garland Trio,"At The Prelude, Vol. 1",Tq7oqhe7bph2ayx6u3gmpgkem4i
Un bacio a mezzanotte,Quartetto Cetra,"Le più belle canzoni della musica italiana, vol. 1 (I grandi successi italiani dagli anni 40 agli anni 60)",Tpnaueuwarvjx6mehitpe4pj6ku
Piccolissima serenata,Renato Carosone,Espérame en Roma,To6gztbuafii5og2yv7jvhgeyqi
